name,url,category,chemistry,chemistry html,IMA Symbol,Strunz class,crystal system,crystal class,crystal class symbol,H-M symbol,color,cleavage,mohs,streak,gravity,luster,habit,varieties,summary
Adamite,https://en.wikipedia.org/wiki/Adamite,Arsenate mineral,Zn2AsO4OH,Zn<sub>2</sub>AsO<sub>4</sub>OH,Ad,8.BB.30,Orthorhombic,Dipyramidal,mmm,2/m 2/m 2/m,"Pale yellow, honey-yellow, brownish yellow, reddish; rarely white, colorless, blue, pale green to green, may be zoned;","{101}, good; {010}, poor",3.5,white to pale green,4.32–4.48 measured,Vitreous,Wedge-like prisms typically in druses and radiating clusters - also smooth botryoidal masses.,,"Adamite is a zinc arsenate hydroxide mineral, Zn2AsO4OH. It is a mineral that typically occurs in the oxidized or weathered zone above zinc ore occurrences. Pure adamite is colorless, but usually it possess yellow color due to Fe compounds admixture. Tints of green also occur and are connected with copper substitutions in the mineral structure. Olivenite is a copper arsenate that is isostructural with adamite and there is considerable substitution between zinc and copper resulting in an intermediate called cuproadamite. Zincolivenite is a recently discovered mineral being an intermediate mineral with formula CuZn(AsO4)(OH). Manganese, cobalt, and nickel also substitute in the structure. An analogous zinc phosphate, tarbuttite, is known."
Adamsite-(Y),https://en.wikipedia.org/wiki/Adamsite-(Y),Mineral,NaY(CO3)2·6H2O,NaY(CO<sub>3</sub>)<sub>2</sub>·6H<sub>2</sub>O,Ads-Y,5.CC.30,Triclinic,Pinacoidal,1,1,,,3.0,,,,,,"Adamsite-(Y) (previously IMA 1999-020), chemical formula NaY(CO3)2·6H2O is a mineral of sodium, yttrium, carbon, oxygen, and hydrogen. It is named after Frank Dawson Adams (1859–1942), professor of geology, McGill University. Its Mohs scale rating is 3."
Adelite,https://en.wikipedia.org/wiki/Adelite,Adelite-descloizite group,CaMg(AsO4)(OH),CaMg(AsO<sub>4</sub>)(OH),Ade,8.BH.35,Orthorhombic,2 2 2 - Disphenoidal,,,"Colourless, white, grey, bluish grey, yellowish grey, yellow, pale green, pinkish brown, brown",None Observed,5,,3.73 to 3.79,"Vitreous, Greasy","Elongate crystals, massive",,"The rare mineral adelite, is a calcium, magnesium, arsenate with chemical formula CaMgAsO4OH. It forms a solid solution series with the vanadium-bearing mineral gottlobite. Various transition metals substitute for magnesium and lead replaces calcium leading to a variety of similar minerals in the adelite - duftite group."
Admontite,https://en.wikipedia.org/wiki/Admontite,Nesoborates,MgB6O10·7H2O or MgB6O7(OH)6·4H2O,MgB<sub>6</sub>O<sub>10</sub>·7H<sub>2</sub>Oor<br/>MgB<sub>6</sub>O<sub>7</sub>(OH)<sub>6</sub>·4H<sub>2</sub>O,Amt,6.FA.15,Monoclinic,Prismatic,2/m,2/m,colorless,Absent,2 - 3 - Gypsum-Calcite,White,,,,,Admontite is a hydrated magnesium borate mineral with formula MgB6O10·7H2O.
Aegirine,https://en.wikipedia.org/wiki/Aegirine,"Silicate mineral, pyroxene",NaFe3+[Si2O6],NaFe<sup>3+</sup>[Si<sub>6</sub>],Aeg,9.DA.25,Monoclinic,Prismatic,2/m,2/m,"Dark Green, Greenish Black","Good on {110}, (110) ^ (110) ≈87°; parting on {100}",6,Yellowish-grey,3.50 - 3.60,Vitreous to slightly resinous,"Prismatic crystals may be in sprays of acicular crystals, fibrous, in radial concretions",,"Aegirine is a member of the clinopyroxene group of inosilicate minerals. Aegirine is the sodium endmember of the aegirine-augite series. Aegirine has the chemical formula NaFeSi2O6 in which the iron is present as Fe3+. In the aegirine-augite series the sodium is variably replaced by calcium with iron(II) and magnesium replacing the iron(III) to balance the charge. Aluminium also substitutes for the iron(III). Acmite is a fibrous, green-colored variety."
Aenigmatite,https://en.wikipedia.org/wiki/Aenigmatite,Inosilicates,Na2Fe2+5TiSi6O20,Na<sub>2</sub>Fe<sup>2+</sup><sub>5</sub>TiSi<sub>6</sub>O<sub>20</sub>,Aen,9.DH.40,Triclinic,Pinacoidal,1,1,Velvet-black,Good on {010} and {100},5.5,Reddish brown,3.81,Vitreous to greasy,"Poorly developed prismatic crystals, occurring as irregular clusters; pseudomonoclinic",,"Aenigmatite, also known as Cossyrite after Cossyra, the ancient name of Pantelleria, is a sodium, iron, titanium inosilicate mineral. The chemical formula is Na2Fe2+5TiSi6O20 and its structure consists of single tetrahedral chains with a repeat unit of four and complex side branches. It forms brown to black triclinic lamellar crystals. It has Mohs hardness of 5.5 to 6 and specific gravity of 3.74 to 3.85. Aenigmatite forms a solid-solution series with wilkinsonite, Na2Fe2+4Fe3+2Si6O20."
Aerinite,https://en.wikipedia.org/wiki/Aerinite,Inosilicate,"Ca4(Al,Fe,Mg)10Si12O35(OH)12CO3·12H2O",Ca<sub>3</sub>·12H<sub>2</sub>O,Aer,9.DB.45,Trigonal,,,,Blue to blue-green,,3,bluish white,2.48,vitreous,fibrous,,"Aerinite (Ca4(Al,Fe,Mg)10Si12O35(OH)12CO3·12H2O) is a bluish-purple inosilicate mineral. It crystallizes in the monoclinic system and occurs as fibrous or compact masses and coatings. It has a dark, vitreous luster, a specific gravity of 2.48 and a Mohs hardness of 3."
Aerugite,https://en.wikipedia.org/wiki/Aerugite,Arsenate minerals,Ni9(AsO4)2AsO6,Ni<sub>9</sub>(AsO<sub>4</sub>)<sub>2</sub>AsO<sub>6</sub>,Aru,8.BC.15,Trigonal,Hexagonal scalenohedral,3m,3 2/m,"Grass green, blue-green",,4,"light green, greenish white",5.85 - 5.95,Adamantine,Massive to crystalline crusts,,Aerugite is a rare complex nickel arsenate mineral with a variably reported formula: Ni9(AsO4)2AsO6. It forms green to deep blue-green trigonal crystals. It has a Mohs hardness of 4 and a specific gravity of 5.85 to 5.95.
Aeschynite-(Ce),https://en.wikipedia.org/wiki/Aeschynite-(Ce),Oxide minerals,"(Ce,Ca,Fe,Th)(Ti,Nb)2(O,OH)6","(Ce,Ca,Fe,Th)(Ti,Nb)<sub>6</sub>",Aes-Ce,4.DF.05,Orthorhombic,Dipyramidal,,,"Brown, light brown, brownish black, yellow, black",None,5 - 6,Nearly black to brown,4.52,"Adamantine, resinous to waxy, sub-metallic; dull when altered","Acicular, massive",,"Aeschynite-(Ce) (or Aschynite, Eschinite, Eschynite) is a rare earth mineral of cerium, calcium, iron, thorium, titanium, niobium, oxygen, and hydrogen with chemical formula (Ce,Ca,Fe,Th)(Ti,Nb)2(O,OH)6.  Its name comes from the Greek word αισχύνη (""aeschyne"") for ""shame"" because early chemists had difficulty with separations of titanium from zirconium."
Aeschynite-(Nd),https://en.wikipedia.org/wiki/Aeschynite-(Nd),,,,,,,,,,,,,,,,,,"Aeschynite-(Nd) is a rare earth mineral of neodymium, cerium, calcium, thorium, titanium, niobium, oxygen, and hydrogen with the chemical formula (Nd,Ce,Ca,Th)(Ti,Nb)2(O,OH)6.  Its name comes from the Greek word for ""shame"".  Its Mohs scale rating is 5 to 6. It is a member of the hydroxide minerals."
Aeschynite-(Y),https://en.wikipedia.org/wiki/Aeschynite-(Y),Oxide mineral,"(Y,Ca,Fe,Th)(Ti,Nb)2(O,OH)6","(Y,Ca,Fe,Th)(Ti,Nb)<sub>6</sub>",Aes-Y,4.DF.05,Orthorhombic,Dipyramidal,mmm,2/m 2/m 2/m,,,,,,,,,"Aeschynite-(Y) (or Aeschinite-(Y), Aeschynite-(Yt), Blomstrandine, Priorite) is a rare earth mineral of yttrium, calcium, iron, thorium, titanium, niobium, oxygen, and hydrogen with the chemical formula (Y,Ca,Fe,Th)(Ti,Nb)2(O,OH)6.  Its name comes from the Greek word for ""shame"".  Its Mohs scale rating is 5 to 6."
Afghanite,https://en.wikipedia.org/wiki/Afghanite,Tectosilicates,"(Na,K)22Ca10[Si24Al24O96](SO4)6Cl6","(Na,K)<sub>22</sub>Ca<sub>10</sub>[Si<sub>24</sub>Al<sub>24</sub>O<sub>96</sub>](SO<sub>4</sub>)<sub>6</sub>Cl<sub>6</sub>",Afg,9.FB.05,Trigonal,Ditrigonal pyramidal,3m,3m,"light blue, dark blue",Perfect {1010},51⁄2 - 6,white,2.55 - 2.65,Vitreous,"Lath shaped crystals, rounded grains",,"Afghanite, (Na,K)22Ca10[Si24Al24O96](SO4)6Cl6, is a hydrous sodium, calcium, potassium, sulfate, chloride, carbonate alumino-silicate mineral. Afghanite is a feldspathoid of the cancrinite group and typically occurs with sodalite group minerals. It forms blue to colorless, typically massive crystals in the trigonal crystal system. The lowering of the symmetry from typical (for cancrinite group) hexagonal one is due to ordering of Si and Al.  It has a Mohs hardness of 5.5 to 6 and a specific gravity of 2.55 to 2.65. It has refractive index values of nω=1.523 and nε=1.529. It has one direction of perfect cleavage and exhibits conchoidal fracture.  It fluoresces a bright orange."
Afwillite,https://en.wikipedia.org/wiki/Afwillite,Nesosilicates,Ca3(SiO3OH)2·2H2O,Ca<sub>3</sub>(SiO<sub>3</sub>OH)<sub>2</sub>·2H<sub>2</sub>O,Afw,9.AG.75,Monoclinic,Domatic,m,m,"Colorless, white","Perfect along [101], good along [100]",3–4,White,2.630,Vitreous,"Prismatic (striated), tabular, radial fibrous, massive",,"Afwillite is a calcium hydroxide nesosilicate mineral with formula Ca3(SiO3OH)2·2H2O. It occurs as glassy, colorless to white prismatic monoclinic crystals. Its Mohs scale hardness is between 3 and 4. It occurs as an alteration mineral in contact metamorphism of limestone. It occurs in association with apophyllite, natrolite, thaumasite, merwinite, spurrite, gehlenite, ettringite,portlandite, hillebrandite, foshagite, brucite and calcite."
Agardite,https://en.wikipedia.org/wiki/Agardite,Arsenate minerals,"(REE,Ca)Cu6(AsO4)3(OH)6·3H2O","(REE,Ca)Cu<sub>6</sub>(AsO<sub>4</sub>)<sub>3</sub>(OH)<sub>6</sub>·3H<sub>2</sub>O","Arg-Y, Arg-Ce. Agr-Nd, Arg-La",8.DL.15,Hexagonal,Dipyramidal,6/m,6/m,Yellow green,None,3–4,Greenish white,"3.7 (measured), 3.775 (calculated)",Vitreous,Acicular,,"Agardite is a mineral group consisting of agardite-(Y), agardite-(Ce), agardite-(Nd), and agardite-(La).  They comprise a group of minerals that are hydrous hydrated arsenates of rare-earth elements (REE) and copper, with the general chemical formula (REE,Ca)Cu6(AsO4)3(OH)6·3H2O. Yttrium, cerium, neodymium, lanthanum, as well as trace to minor amounts of other REEs, are present in their structure. Agardite-(Y) is probably the most often found representative.[citation needed] They form needle-like yellow-green (variably hued) crystals in the hexagonal crystal system. Agardite minerals are a member of the mixite structure group, which has the general chemical formula Cu2+6A(TO4)3(OH)6·3H2O, where A is a REE, Al, Ca, Pb, or Bi, and T is P or As. In addition to the four agardite minerals, the other members of the mixite mineral group are calciopetersite, goudeyite,[10] mixite,[11] petersite-(Ce),[12] petersite-(Y),[13][14] plumboagardite,[15] and zálesíite.[16]"
Agrellite,https://en.wikipedia.org/wiki/Agrellite,Inosilicates,NaCa2Si4O10F,NaCa<sub>2</sub>Si<sub>4</sub>O<sub>10</sub>F,Are,9.DH.75,Triclinic,Pinacoidal,1,1,"White, grayish-white, greenish-white",perfect [110],5.5,white,2.88,pearly,"Lath - shaped like a small, thin plaster lath, rectangular in shape",,Agrellite (NaCa2Si4O10F) is a rare triclinic inosilicate mineral with four-periodic single chains of silica tetrahedra.
Agrinierite,https://en.wikipedia.org/wiki/Agrinierite,Mineral,,,,,,,,,,,,,,,,,"Agrinierite (chemical formula K2(Ca,Sr)(UO2)3O3(OH)2·5H2O) is a mineral often found in the oxidation zone of uranium deposits. The IMA symbol is Agn.  It is named for Henry Agrinier (1928–1971), an engineer for the Commissariat à l'Énergie Atomique."
Aguilarite,https://en.wikipedia.org/wiki/Aguilarite,Sulfosalt minerals,Ag4SeS,Ag<sub>4</sub>SeS,Agu,2.BA.55,Monoclinic,Prismatic,2/m,2/m,Bright lead-gray on fresh surfaces; dull iron-black on exposure to air.,None observed,2.5 1–1.5,Gray-black,,Metallic,,,Aguilarite is an uncommon sulfosalt mineral with formula Ag4SeS. It was described in 1891 and named for discoverer Ponciano Aguilar.
Aheylite,https://en.wikipedia.org/wiki/Aheylite,Phosphate minerals,"(Fe2+,Zn)Al6(OH)8(PO4)4·4(H2O)","(Fe<sup>2+</sup>,Zn)Al<sub>6</sub>(OH)<sub>8</sub>(PO<sub>4</sub>)<sub>4</sub>·4(H<sub>2</sub>O)",Ahe,8.DD.15,Triclinic,Unknown space group,,,"Very pale blue, pale green, to blue-green","Perfect {001}, {010} good",5 to 5.5,White to greenish white,2.84,Porcelaneous to subvitreous,"Interlocked crystals in felted and matted aggregates forming botryoidal, spherulitic masses; radiating, prismatic groups",,Aheylite is a rare phosphate mineral with formula (Fe2+Zn)Al6[(OH)4|(PO4)2]2·4(H2O). It occurs as pale blue to pale green triclinic crystal masses.  Aheylite was made the newest member of the turquoise group in 1984 by International Mineralogical Association Commission on New Minerals and Mineral Names.
Ahlfeldite,https://en.wikipedia.org/wiki/Ahlfeldite,Selenite mineral,"(Ni,Co)SeO3·2H2O","(Ni,Co)SeO<sub>3</sub>·2H<sub>2</sub>O",Afe,4.JH.10,Monoclinic,Prismatic,2/m,2/m,,,,,,,,,"Ahlfeldite ((Ni, Co)SeO3]·2H2O) is a mineral of secondary origin. It is named after Friedrich Ahlfeld (1892–1982), a German-Bolivian mining engineer and geologist. Its type locality is Virgen de Surumi mine, Pakajake Canyon, Chayanta Province, Potosí Department, Bolivia."
Aikinite,https://en.wikipedia.org/wiki/Aikinite,Sulfide mineral,PbCuBiS3,PbCuBiS<sub>3</sub>,Aik,2.HB.05a,Orthorhombic,Dipyramidal,mmm,2/m 2/m 2/m,"Lead gray, grayish black, reddish brown",{010} indistinct,2-2.5,Grayish black,"6.1–6.8, Average = 6.44",Metallic,"Acicular, massive",,"Aikinite is a sulfide mineral of lead, copper and bismuth with formula PbCuBiS3. It forms black to grey or reddish brown acicular orthorhombic crystals with a Mohs hardness of 2 to 2.5 and a specific gravity of 6.1 to 6.8. It was originally found in 1843 in the Beryozovskoye deposit, Ural Mountains. It is named after Arthur Aikin (1773–1854), an English geologist."
Ajoite,https://en.wikipedia.org/wiki/Ajoite,Silicate mineral,"(Na,K)Cu7AlSi9O24(OH)6·3H2O","(Na,K)Cu<sub>7</sub>AlSi<sub>9</sub>O<sub>24</sub>(OH)<sub>6</sub>·3H<sub>2</sub>O",Aj,9.EA.70,Triclinic,Pinacoidal,1,1,Bluish green,Perfect on {010},3+1⁄2,Greenish white,2.96,Vitreous,Sprays of bladed prismatic crystals,,"Ajoite is a hydrated sodium potassium copper aluminium silicate hydroxide mineral. Ajoite has the chemical formula (Na,K)Cu7AlSi9O24(OH)6·3H2O, and minor Mn, Fe and Ca are usually also present in the structure. Ajoite is used as a minor ore of copper."
Akaganeite,https://en.wikipedia.org/wiki/Akagan%C3%A9ite,Oxide mineral,"Fe3+O(OH,Cl)","Fe<sup>3+</sup>O(OH,Cl)",Akg,4.DK.05,Monoclinic,Prismatic,2/m,2/m,"Yellowish brown, rusty brown",,,Brownish yellow,3.52,Earthy,,,"Akaganeite, also written as the deprecated Akaganéite, is a chloride-containing iron(III) oxide-hydroxide mineral, formed by the weathering of pyrrhotite (Fe1−xS)."
Akatoreite,https://en.wikipedia.org/wiki/Akatoreite,,,,,,,,,,,,,,,,,,"Akatoreite ((Mn2+, Fe2+)9Al2[(OH)3|HSi4O13]) is a mineral found in New Zealand. The IMA symbol is Aka."
Akdalaite,https://en.wikipedia.org/wiki/Akdalaite,,,,,,,,,,,,,,,,,,Akdalaite (IMA symbol: Akd) is a very rare mineral found in Kazakhstan and has the formula 5Al2O3·H2O. It was formerly believed to be 4Al2O3·H2O. It is therefore the same as tohdite an artificially produced phase. Studies on the crystal structure and spectra indicate that this is an aluminium oxide hydroxide.
Åkermanite,https://en.wikipedia.org/wiki/%C3%85kermanite,Sorosilicates,Ca2Mg(Si2O7),Ca<sub>2</sub>Mg(Si<sub>2</sub>O<sub>7</sub>),Åk,9.BB.10,Tetragonal,Scalenohedral,42m,4 2m,"Colorless, yellowish gray, green, brown","Distinct on {001}, poor on {110}",5 - 6,White,2.944,"Vitreous, resinous",,,"Åkermanite (Ca2Mg[Si2O7]) is a melilite mineral of the sorosilicate group, containing  calcium, magnesium, silicon, and oxygen. It is a product of contact metamorphism of siliceous limestones and dolomites, and rocks of sanidinite facies. Sanidinite facies represent the highest conditions of temperature of contact metamorphism and are characterized by the absence of hydrous minerals. It has a density of 2.944 g/cm3. Åkermanite ranks a 5 or 6 on the Mohs scale of mineral hardness, and can be found gray, green, brown, or colorless. It has a white streak and a vitreous or resinous luster. It has a tetragonal crystal system and a good, or distinct, cleavage. It is the end member in a solid solution series beginning with gehlenite (Ca2Al[AlSiO7])."
Akhtenskite,https://en.wikipedia.org/wiki/Akhtenskite,Oxide mineral,MnO2,MnO<sub>2</sub>,Akh,4.DB.15b,Hexagonal,Dihexagonal dipyramidal,,,Light gray to black,Distinct on {001},,Black,4.78 (calculated),,Flaky polycrystalline aggregates,,"Akhtenskite is a manganese oxide mineral with the chemical formula of MnO2 (or: ε-Mn4+O2) that was named after the Akhtensk deposit in Russia, where it was first discovered and noted in 1979.  It can be found in the Akhtensk brown ironstone deposit, in the southern Ural Mountains, on Mt. Zarod, on the Sikhote-Alin Mountains, and in the Primorskiy Krai, all in Russia."
Akimotoite,https://en.wikipedia.org/wiki/Akimotoite,Oxide minerals Ilmenite group,"(Mg,Fe)SiO3","(Mg,Fe)SiO<sub>3</sub>",Aki,4.CB.05,Trigonal,Rhombohedral,3,3,Colorless,perfect (0001),,white or colorless,3.81(calculated),vitreous,,,"Akimotoite is a rare silicate mineral in the ilmenite group of minerals, with the chemical formula (Mg,Fe)SiO3. It is polymorphous with pyroxene and with bridgmanite, a natural silicate perovskite that is the most abundant mineral in Earth's silicate mantle. Akimotoite has a vitreous luster, is colorless, and has a white or colorless streak. It crystallizes in the trigonal crystal system in space group R3. It is the silicon analogue of geikielite (MgTiO3)."
Akrochordite,https://en.wikipedia.org/wiki/Akrochordite,Phosphate minerals,"(Mn,Mg)4(AsO4)2(OH)4·4H2O","(Mn,Mg)<sub>4</sub>·4H<sub>2</sub>O",Akr,8.DD.10,Monoclinic,Prismatic,2/m,2/m,"Yellowish red-brown, pale to dark brown, pale pink","Perfect. On {010} , perfect; a second, perpendicular to the first.",3+1⁄2,,,"Sub-Vitreous, resinous, dull",,,"Akrochordite is a rare hydrated arsenate mineral with the chemical formula (Mn,Mg)4(AsO4)2(OH)4·4H2O and represents a small group of rare manganese (Mn) arsenates and, similarly to most other Mn-bearing arsenates, possess pinkish colour. It is typically associated with metamorphic Mn deposits."
Aksaite,https://en.wikipedia.org/wiki/Aksaite,Nesoborates,Mg[B6O7(OH)6]·2H2O,Mg[B<sub>6</sub>O<sub>7</sub>(OH)<sub>6</sub>]·2H<sub>2</sub>O,Aks,6.FA.05,Orthorhombic,Dipyramidal,,,"Colorless, white to pale grey",Distinct/Good; Probable on {100} and {010},2.5,White,,,,,Aksaite (Mg[B6O7(OH)6]·2H2O) is a mineral found in Kazakhstan.
Aktashite,https://en.wikipedia.org/wiki/Aktashite,Sulfosalt,Cu6Hg3As4S12,Cu<sub>6</sub>Hg<sub>3</sub>As<sub>4</sub>S<sub>12</sub>,Ats,2.GA.30,Trigonal,Pyramidal,3,3,,,,,,,,,"Aktashite is a rare arsenic sulfosalt mineral with formula Cu6Hg3As4S12. It is a copper mercury-bearing sulfosalt and is the only sulfosalt mineral with essential Cu and Hg yet known.  It is of hydrothermal origin. It was published without approval of the IMA-CNMNC, but recognized as valid species by the IMA-CNMNC Sulfosalts Subcommittee (2008)."
Alabandite,https://en.wikipedia.org/wiki/Alabandite,Sulfide mineral,MnS,MnS,Abd,2.CD.10,Cubic,Hexoctahedral,m3m,4/m 3 2/m,"black, steelgray, brownish-black",Perfect on {100},3.5 to 4,Green,4.053,Sub-metallic,mostly massive or granular; cubic or octahedral crystals to 1 cm,,"Alabandite or alabandine is a rarely occurring manganese sulfide mineral. It crystallizes in the cubic crystal system with the chemical composition Mn2+S and develops commonly massive to granular aggregates, but rarely also cubic or octahedral crystals to 1 cm."
Alacránite,https://en.wikipedia.org/wiki/Alacr%C3%A1nite,Sulfide mineral,As8S9,As<sub>8</sub>S<sub>9</sub>,Acr,2.FA.20,Monoclinic,Prismatic,2/m,2/m,"Orange to pale gray, rose-yellow internal reflections",Imperfect on {100},1.5,Yellow-orange,3.4 - 3.46,"Vitreous, resinous, greasy",Equant grains,,"Alacránite (As8S9) is an arsenic sulfide mineral first discovered in the Uzon caldera, Kamchatka, Russia.  It was named for its occurrence in the Alacrán silver/arsenic/antimony mine. Pampa Larga, Chile. It is generally more rare than realgar and orpiment. Its origin is hydrothermal. It occurs as subhedral to euhedral tabular orange to pale gray crystals that are transparent to translucent. It has a yellow-orange streak with a hardness of 1.5. It crystallizes in the monoclinic crystal system. It occurs with realgar and uzonite as flattened and prismatic grains up to 0.5 mm across."
